5 NODES,,,,,,,,
,,,,,,,,
Throughput,,,,,AvgMiningTime,,,
,CAPACITY = 1,CAPACITY = 5,CAPACITY = 10,,,CAPACITY = 1,CAPACITY = 5,CAPACITY = 10
DIFFICULTY = 4,0.355449,0.658938,0.61081,,DIFFICULTY = 4,2.755696,7.556676,16.439921
DIFFICULTY = 5,0.032047,0.041811,0.045311,,DIFFICULTY = 5,31.010899,119.091294,223.047007
,,,,,,,,
,,,,,,,,
10 NODES,,,,,,,,
,,,,,,,,
Throughput,,,,,AvgMiningTime,,,
,CAPACITY = 1,CAPACITY = 5,CAPACITY = 10,,,CAPACITY = 1,CAPACITY = 5,CAPACITY = 10
DIFFICULTY = 4,0.474104,0.394234,0.757378,,DIFFICULTY = 4,2.028596,12.555359,13.216915
DIFFICULTY = 5,0.046512,0.051942,0.058764,,DIFFICULTY = 5,21.30562,95.770256,169.828997
